time_sec,raw_deg
1783235406.660789,-3.84
1783235406.6707737,-3.84
1783235406.68074,-3.84
1783235406.690677,-3.84
1783235406.7007515,-3.84
1783235406.7107868,-3.84
1783235406.7207468,-3.84
1783235406.7308135,-3.84
1783235406.740833,-3.84
1783235406.7508,-3.84
1783235406.7607727,-3.84
1783235406.7706828,-3.84
1783235406.7806494,-3.84
1783235406.7906928,-3.84
1783235406.8008444,-3.84
1783235406.8107657,-3.84
1783235406.820787,-3.84
1783235406.8362782,-3.84
1783235406.8407326,-3.84
1783235406.850779,-3.84
1783235406.860791,-3.84
1783235406.870805,-3.84
1783235406.8808181,-3.84
1783235406.8908176,-3.84
1783235406.9009886,-3.84
1783235406.9108758,-3.84
1783235406.9209452,-3.84
1783235406.9308472,-3.84
1783235406.9408941,-3.84
1783235406.9507632,-3.84
1783235406.9609494,-3.84
1783235406.9709196,-3.84
1783235406.9810722,-3.84
1783235406.9907289,-3.84
1783235407.0007658,-3.84
1783235407.0107093,-3.84
1783235407.0207767,-3.84
1783235407.0309427,-3.84
1783235407.040884,-3.84
1783235407.0508456,-3.84
1783235407.0607998,-3.84
1783235407.076252,-3.84
1783235407.0808022,-3.84
1783235407.0907998,-3.84
1783235407.1008177,-3.84
1783235407.1108336,-3.84
1783235407.1207902,-3.84
1783235407.1307647,-3.84
1783235407.1407466,-3.84
1783235407.1507666,-3.84
1783235407.160814,-3.84
1783235407.1708243,-3.84
1783235407.180714,-3.84
1783235407.190859,-3.84
1783235407.2008169,-3.84
1783235407.2108762,-3.84
1783235407.2212563,-3.84
1783235407.230872,-3.84
1783235407.2407706,-3.84
1783235407.250716,-3.84
1783235407.260619,-3.84
1783235407.271011,-3.84
1783235407.2807667,-3.84
1783235407.2906685,-3.84
1783235407.3063848,-3.84
1783235407.310814,-3.84
1783235407.3208082,-3.84
1783235407.3308005,-3.84
1783235407.3407962,-3.84
1783235407.3508196,-3.84
1783235407.3608072,-3.84
1783235407.3709927,-3.84
1783235407.3807302,-3.84
1783235407.390928,-3.84
1783235407.4007769,-3.84
1783235407.4109104,-3.84
1783235407.4208057,-3.84
1783235407.4308305,-3.84
1783235407.4408526,-3.84
1783235407.4507403,-3.84
1783235407.4609597,-3.84
1783235407.4710724,-3.84
1783235407.4809916,-3.84
1783235407.4906862,-3.84
1783235407.5007055,-3.84
1783235407.5107517,-3.84
1783235407.520886,-3.84
1783235407.5362756,-3.84
1783235407.5462506,-3.84
1783235407.5507889,-3.84
1783235407.560857,-3.84
1783235407.570797,-3.84
1783235407.5807612,-3.84
1783235407.5907812,-3.84
1783235407.6009696,-3.84
1783235407.611088,-3.84
1783235407.6209047,-3.84
1783235407.6309195,-3.84
